Title,Ratings,Votings,Duration,Genre
1. Abigail,6.5, (107K),1h 49m,Action
2. Relay,7.0, (16K),1h 52m,Action
3. Dune: Part Two,8.4, (678K),2h 46m,Action
4. Twisters,6.5, (186K),2h 2m,Action
5. The Ministry of Ungentlemanly Warfare,6.8, (149K),2h 2m,Action
6. Gladiator II,6.5, (279K),2h 28m,Action
7. The Fall Guy,6.8, (240K),2h 6m,Action
8. Deadpool & Wolverine,7.5, (537K),2h 8m,Action
9. Red One,6.2, (146K),2h 3m,Action
10. Road House,6.2, (178K),2h 1m,Action
11. Civil War,7.0, (256K),1h 49m,Action
12. Carry-On,6.5, (183K),1h 59m,Action
13. Furiosa: A Mad Max Saga,7.5, (307K),2h 28m,Action
14. The Unholy Trinity,5.5, (4.4K),1h 35m,Action
15. Kraven the Hunter,5.5, (75K),2h 7m,Action
16. The Beekeeper,6.3, (171K),1h 45m,Action
17. Fight or Flight,6.4, (21K),1h 42m,Action
18. The Count of Monte-Cristo,7.6, (42K),2h 58m,Action
19. Mahavatar Narsimha,8.6, (42K),2h 10m,Action
20. Madame Web,4.1, (109K),1h 56m,Action
21. Elevation,5.6, (28K),1h 31m,Action
22. Kingdom of the Planet of the Apes,6.8, (162K),2h 25m,Action
23. Rebel Ridge,6.8, (98K),2h 11m,Action
24. Venom: The Last Dance,6.0, (144K),1h 50m,Action
25. Land of Bad,6.6, (56K),1h 53m,Action
26. Sonic the Hedgehog 3,6.9, (74K),1h 50m,Action
27. Damsel,6.1, (115K),1h 50m,Action
28. Bad Boys: Ride or Die,6.5, (108K),1h 55m,Action
29. Borderlands,4.7, (54K),1h 41m,Action
30. Argylle,5.6, (97K),2h 19m,Action
31. Transformers One,7.6, (60K),1h 44m,Action
32. The Crow,4.7, (39K),1h 51m,Action
33. Godzilla x Kong: The New Empire,6.0, (129K),1h 55m,Action
34. Maharaja,8.3, (76K),2h 21m,Action
35. The Union,5.5, (56K),1h 47m,Action
36. Delivery Run,4.5, (499),1h 24m,Action
37. Freaky Tales,6.2, (14K),1h 47m,Action
38. Dirty Angels,4.5, (6.1K),1h 44m,Action
39. Monkey Man,6.8, (97K),2h 1m,Action
40. The Lord of the Rings: The War of the Rohirrim,6.3, (37K),2h 14m,Action
41. Drive-Away Dolls,5.4, (27K),1h 24m,Action
42. Homestead,5.2, (4.8K),1h 52m,Action
43. William Tell,5.7, (6.1K),2h 14m,Action
44. 40 Acres,6.5, (5K),1h 53m,Action
45. Brothers,5.4, (15K),1h 29m,Action
46. Attack on Titan the Movie: The Last Attack,9.2, (21K),2h 25m,Action
47. The Killer,5.7, (16K),2h 6m,Action
48. Old Guy,5.3, (5K),1h 34m,Action
49. Kung Fu Panda 4,6.3, (75K),1h 34m,Action
50. Pushpa: The Rule - Part 2,6.1, (63K),3h 21m,Action
51. No Way Up,4.6, (12K),1h 30m,Action
52. Queen of the Ring,6.3, (2.6K),2h 9m,Action
53. The Instigators,6.2, (41K),1h 41m,Action
54. Beverly Hills Cop: Axel F,6.4, (85K),1h 58m,Action
55. Arcadian,5.5, (26K),1h 32m,Action
56. Thelma,7.0, (26K),1h 38m,Action
57. The Silent Hour,6.1, (9.5K),1h 39m,Action
58. Hellboy: The Crooked Man,4.5, (16K),1h 39m,Action
59. Canary Black,5.4, (13K),1h 41m,Action
60. Baby John,5.0, (19K),2h 39m,Action
61. Twilight of the Warriors: Walled In,6.9, (11K),2h 6m,Action
62. Cloud,6.4, (3.1K),2h 4m,Action
63. Riff Raff,5.7, (7.3K),1h 43m,Action
64. The Killer's Game,5.8, (20K),1h 44m,Action
65. Ick,5.2, (1.6K),1h 54m,Action
66. Uglies,4.7, (35K),1h 40m,Action
67. Atlas,5.6, (58K),1h 58m,Action
68. Lift,5.5, (51K),1h 47m,Action
69. Azrael,5.3, (13K),1h 26m,Action
70. Blitz,6.2, (18K),2h,Action
71. Solo Leveling: ReAwakening,8.7, (16K),2h 1m,Action
72. Rebel Moon - Part Two: The Scargiver,5.3, (62K),2h 2m,Action
73. Werewolves,4.4, (9.2K),1h 33m,Action
74. The Partisan,5.2, (329),1h 48m,Action
75. Kalki 2898 AD,7.0, (73K),3h,Action
76. Jackpot!,5.8, (33K),1h 46m,Action
77. Survive,4.6, (4.1K),1h 30m,Action
78. Striking Rescue,5.6, (1.1K),1h 51m,Action
79. Boneyard,4.1, (5.7K),1h 36m,Action
80. Watchmen: Chapter I,7.1, (7.8K),1h 23m,Action
81. The Fix,4.7, (1.9K),1h 38m,Action
82. Amaran,8.1, (23K),2h 47m,Action
83. Apocalypse Z: The Beginning of the End,6.1, (22K),1h 57m,Action
84. Absolution,5.2, (10K),1h 52m,Action
85. Aavesham,7.8, (32K),2h 35m,Action
86. Role Play,5.5, (20K),1h 40m,Action
87. Under Paris,5.2, (38K),1h 44m,Action
88. Classified,3.7, (3.1K),1h 45m,Action
89. Article 370,7.8, (26K),2h 38m,Action
90. Singham Again,4.3, (76K),2h 24m,Action
91. Watchmen: Chapter II,7.1, (4.1K),1h 30m,Action
92. Long Gone Heroes,5.1, (1.7K),1h 41m,Action
93. Armor,3.6, (5.3K),1h 29m,Action
94. My Spy: The Eternal City,5.7, (12K),1h 52m,Action
95. Uprising,6.6, (6.6K),2h 6m,Action
96. The Shadow Strays,6.5, (10K),2h 24m,Action
97. Wynonna Earp: Vengeance,5.6, (1.9K),1h 36m,Action
98. Black Creek,4.2, (394),1h 56m,Action
99. Zebra,7.1, (3.6K),2h 44m,Action
100. Hagen,6.0, (1.6K),2h 19m,Action
101. Trigger Warning,4.6, (20K),1h 46m,Action
102. Weekend in Taipei,5.7, (6.3K),1h 40m,Action
103. Baby Assassins: Nice Days,7.1, (634),1h 43m,Action
104. Marco,6.7, (25K),2h 25m,Action
105. The Courier,6.0, (5.4K),1h 41m,Action
106. Drive Back,4.5, (1.1K),1h 34m,Action
107. Night Call,6.7, (3.3K),1h 37m,Action
108. Red Right Hand,5.5, (6.5K),1h 51m,Action
109. Megamind vs. The Doom Syndicate,2.4, (6.1K),1h 23m,Action
110. Badland Hunters,5.9, (13K),1h 47m,Action
111. Devara Part 1,6.0, (22K),2h 56m,Action
112. Aftermath,5.2, (4.8K),1h 37m,Action
113. The Roundup: Punishment,6.6, (6.3K),1h 49m,Action
114. Dan Da Dan: First Encounter,8.2, (3.6K),1h 23m,Action
115. Justice League: Crisis on Infinite Earths - Part Three,6.1, (5.3K),1h 34m,Action
116. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.3, (10K),1h 44m,Action
117. Escape,6.4, (2.5K),1h 34m,Action
118. Justice League: Crisis on Infinite Earths - Part One,6.2, (9.4K),1h 33m,Action
119. Wanted Man,4.8, (2.8K),1h 25m,Action
120. Chief of Station,4.7, (5.2K),1h 37m,Action
121. Fighter,6.2, (53K),2h 46m,Action
122. Officer Black Belt,6.9, (9.7K),1h 48m,Action
123. Ultraman: Rising,6.9, (7.1K),1h 57m,Action
124. Take Cover,5.1, (3.5K),1h 30m,Action
125. Damaged,4.7, (8.2K),1h 37m,Action
126. Hijack 1971,6.8, (3.8K),1h 40m,Action
127. Handsome Guys,6.5, (1.5K),1h 41m,Action
128. Chandu Champion,7.8, (36K),2h 22m,Action
129. Levels,5.0, (1.9K),1h 33m,Action
130. Code 8: Part II,5.7, (17K),1h 40m,Action
