Title,Ratings,Votings,Duration,Genre
1. Red One,6.2, (148K),2h 3m,Adventure
2. Eden,6.5, (28K),2h 9m,Adventure
3. Dune: Part Two,8.4, (685K),2h 46m,Adventure
4. That Christmas,6.8, (18K),1h 31m,Adventure
5. Gladiator II,6.5, (281K),2h 28m,Adventure
6. Deadpool & Wolverine,7.5, (540K),2h 8m,Adventure
7. The Best Christmas Pageant Ever,6.8, (6.9K),1h 39m,Adventure
8. The Wild Robot,8.2, (205K),1h 42m,Adventure
9. Furiosa: A Mad Max Saga,7.5, (309K),2h 28m,Adventure
10. Freaky Tales,6.2, (15K),1h 47m,Adventure
11. The Count of Monte-Cristo,7.6, (43K),2h 58m,Adventure
12. Flow,7.9, (101K),1h 25m,Adventure
13. Kraven the Hunter,5.5, (75K),2h 7m,Adventure
14. Twisters,6.5, (188K),2h 2m,Adventure
15. The Unholy Trinity,5.5, (4.7K),1h 35m,Adventure
16. Moana 2,6.3, (119K),1h 40m,Adventure
17. Inside Out 2,7.5, (237K),1h 36m,Adventure
18. Damsel,6.1, (115K),1h 50m,Adventure
19. Kingdom of the Planet of the Apes,6.8, (163K),2h 25m,Adventure
20. Venom: The Last Dance,6.0, (145K),1h 50m,Adventure
21. Borderlands,4.7, (54K),1h 41m,Adventure
22. Ghostbusters: Frozen Empire,6.1, (101K),1h 55m,Adventure
23. Bookworm,6.0, (2.4K),1h 43m,Adventure
24. Sonic the Hedgehog 3,6.9, (74K),1h 50m,Adventure
25. Bad Boys: Ride or Die,6.5, (109K),1h 55m,Adventure
26. Transformers One,7.6, (60K),1h 44m,Adventure
27. Despicable Me 4,6.2, (74K),1h 34m,Adventure
28. Kung Fu Panda 4,6.3, (76K),1h 34m,Adventure
29. Godzilla x Kong: The New Empire,6.0, (130K),1h 55m,Adventure
30. Mufasa: The Lion King,6.6, (78K),1h 58m,Adventure
31. The Return,6.3, (13K),1h 56m,Adventure
32. Paddington in Peru,6.6, (32K),1h 46m,Adventure
33. The Lord of the Rings: The War of the Rohirrim,6.3, (37K),2h 14m,Adventure
34. Please Don't Feed the Children,4.7, (1.2K),1h 34m,Adventure
35. Arthur the King,7.0, (37K),1h 47m,Adventure
36. Sketch,6.7, (4.8K),1h 33m,Adventure
37. Spaceman,5.7, (46K),1h 47m,Adventure
38. Attack on Titan the Movie: The Last Attack,9.2, (22K),2h 25m,Adventure
39. Monster Summer,5.7, (6.5K),1h 37m,Adventure
40. Uglies,4.7, (36K),1h 40m,Adventure
41. Solo Leveling: ReAwakening,8.7, (16K),2h 1m,Adventure
42. Kalki 2898 AD,7.0, (73K),3h,Adventure
43. Wallace & Gromit: Vengeance Most Fowl,7.5, (39K),1h 22m,Adventure
44. Rebel Moon - Part Two: The Scargiver,5.3, (62K),2h 2m,Adventure
45. The Garfield Movie,5.7, (26K),1h 41m,Adventure
46. Atlas,5.6, (58K),1h 58m,Adventure
47. Lumina,2.2, (1.7K),1h 53m,Adventure
48. Harold and the Purple Crayon,5.7, (9.6K),1h 30m,Adventure
49. My Penguin Friend,6.8, (6.6K),1h 37m,Adventure
50. Orion and the Dark,6.3, (19K),1h 33m,Adventure
51. Sunlight,6.6, (348),1h 36m,Adventure
52. The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (7.9K),1h 31m,Adventure
53. Bureau 749,3.8, (664),2h 3m,Adventure
54. Devara Part 1,6.0, (23K),2h 56m,Adventure
55. This Too Shall Pass,7.4, (56),1h 45m,Adventure
56. Escape,6.4, (2.5K),1h 34m,Adventure
57. Lost on a Mountain in Maine,6.1, (2.5K),1h 38m,Adventure
58. Sasquatch Sunset,5.4, (6K),1h 28m,Adventure
59. Woodwalkers,5.1, (963),1h 43m,Adventure
60. Survive,4.6, (4.2K),1h 30m,Adventure
61. Night of the Zoopocalypse,6.0, (1.6K),1h 31m,Adventure
62. The Great Lillian Hall,7.3, (2.3K),1h 50m,Adventure
63. River of Blood,4.7, (2.7K),1h 26m,Adventure
64. Justice League: Crisis on Infinite Earths - Part One,6.2, (9.4K),1h 33m,Adventure
65. The Courier,6.0, (5.4K),1h 41m,Adventure
66. A Legend,4.7, (1.2K),2h 9m,Adventure
67. Doraemon the Movie: Nobita's Earth Symphony,6.7, (1.8K),1h 55m,Adventure
68. Manjummel Boys,8.2, (32K),2h 15m,Adventure
69. Justice League: Crisis on Infinite Earths - Part Three,6.1, (5.4K),1h 34m,Adventure
70. Anaconda,4.8, (951),1h 24m,Adventure
71. The Goat Life,7.1, (49K),2h 53m,Adventure
72. Heavier Trip,6.0, (1.9K),1h 36m,Adventure
73. No Way Up,4.6, (12K),1h 30m,Adventure
74. Family Pack,5.5, (11K),1h 34m,Adventure
75. Winner,6.5, (3.1K),1h 43m,Adventure
76. Hitpig,5.2, (1.2K),1h 26m,Adventure
77. Dragonkeeper,5.7, (2.1K),1h 38m,Adventure
78. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.3, (10K),1h 44m,Adventure
79. Meanwhile on Earth,5.8, (1.2K),1h 29m,Adventure
80. Autumn and the Black Jaguar,5.7, (1.2K),1h 40m,Adventure
81. Something in the Water,4.1, (5.6K),1h 26m,Adventure
82. Spellbound,5.5, (8.6K),1h 49m,Adventure
83. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (4.3K),1h 22m,Adventure
84. Trifole,7.0, (103),1h 41m,Adventure
85. Hanu Man,7.7, (30K),2h 38m,Adventure
86. Ultraman: Rising,6.9, (7.1K),1h 57m,Adventure
87. Justice League: Crisis on Infinite Earths - Part Two,5.6, (6.1K),1h 34m,Adventure
88. Descendants: The Rise of Red,4.7, (7.9K),1h 35m,Adventure
89. Operation Blood Hunt,3.4, (649),1h 33m,Adventure
90. Megamind vs. The Doom Syndicate,2.4, (6.1K),1h 23m,Adventure
91. 200% Wolf,5.8, (1.4K),1h 38m,Adventure
92. Badland Hunters,5.9, (13K),1h 47m,Adventure
93. Kanguva,4.5, (16K),2h 32m,Adventure
94. Thelma the Unicorn,5.7, (3.2K),1h 33m,Adventure
95. Cult Killer,4.8, (3.2K),1h 45m,Adventure
96. Ayalaan,5.9, (4.3K),2h 35m,Adventure
97. Escape from the 21st Century,6.4, (1.4K),1h 38m,Adventure
98. The Tiger's Apprentice,5.8, (2.3K),1h 24m,Adventure
99. Man and Witch: The Dance of a Thousand Steps,5.6, (379),1h 34m,Adventure
100. No Time to Spy: A Loud House Movie,6.3, (556),1h 21m,Adventure
101. Daye: Seret ahl el Daye,7.6, (174),1h 44m,Adventure
102. Crayon Shin-chan: Our Dinosaur Diary,6.6, (792),1h 46m,Adventure
103. My Hero Academia: You're Next,7.0, (3.2K),1h 50m,Adventure
104. Z-Mom,4.8, (47),1h 30m,Adventure
105. The Trail,4.4, (488),1h 20m,Adventure
106. Birds Flying East,5.8, (627),1h 40m,Adventure
107. Al Leib Maa Al Eyal,4.4, (280),2h 7m,Adventure
108. The Price of Money: A Largo Winch Adventure,5.1, (1.5K),1h 40m,Adventure
109. The Wages of Fear,4.6, (4.4K),1h 44m,Adventure
