Title,Ratings,Votings,Duration,Genre
1. The Substance,7.3, (290K),2h 21m,Horror
2. Nosferatu,7.2, (186K),2h 12m,Horror
3. Heretic,7.0, (129K),1h 51m,Horror
4. Trap,5.8, (135K),1h 45m,Horror
5. Longlegs,6.6, (182K),1h 41m,Horror
6. Presence,6.1, (20K),1h 24m,Horror
7. Alien: Romulus,7.1, (241K),1h 59m,Horror
8. Smile 2,6.7, (100K),2h 7m,Horror
9. Hellboy: The Crooked Man,4.5, (13K),1h 39m,Horror
10. Speak No Evil,6.8, (95K),1h 50m,Horror
11. The Rule of Jenny Pen,6.3, (2.4K),1h 44m,Horror
12. Abigail,6.6, (96K),1h 49m,Horror
13. MaXXXine,6.3, (69K),1h 43m,Horror
14. Y2K,4.8, (11K),1h 31m,Horror
15. A Quiet Place: Day One,6.3, (148K),1h 39m,Horror
16. Beetlejuice Beetlejuice,6.7, (145K),1h 45m,Horror
17. Terrifier 3,6.3, (48K),2h 5m,Horror
18. Kinds of Kindness,6.5, (59K),2h 44m,Horror
19. The Watchers,5.7, (56K),1h 42m,Horror
20. The Crow,4.7, (33K),1h 51m,Horror
21. Oddity,6.7, (41K),1h 38m,Horror
22. Never Let Go,5.4, (14K),1h 41m,Horror
23. I Saw the TV Glow,5.8, (35K),1h 40m,Horror
24. Nightbitch,5.5, (19K),1h 39m,Horror
25. Dead Talents Society,7.1, (1.5K),1h 51m,Horror
26. Immaculate,5.8, (52K),1h 29m,Horror
27. Cuckoo,5.7, (26K),1h 42m,Horror
28. Don't Move,5.8, (38K),1h 32m,Horror
29. Bloody Axe Wound,4.9, (752),1h 23m,Horror
30. Baby Invasion,4.7, (371),1h 20m,Horror
31. Bagman,4.6, (4.8K),1h 33m,Horror
32. Arcadian,5.5, (23K),1h 32m,Horror
33. The Shrouds,5.9, (861),1h 59m,Horror
34. The First Omen,6.5, (64K),1h 59m,Horror
35. Get Away,5.3, (6.5K),1h 26m,Horror
36. Blood Star,6.1, (2.4K),1h 37m,Horror
37. Salem's Lot,5.6, (33K),1h 54m,Horror
38. The Strangers: Chapter 1,4.6, (22K),1h 31m,Horror
39. MadS,6.4, (7.3K),1h 29m,Horror
40. Apartment 7A,5.9, (16K),1h 47m,Horror
41. In a Violent Nature,5.6, (25K),1h 34m,Horror
42. Werewolves,4.4, (6.2K),1h 33m,Horror
43. Azrael,5.4, (10K),1h 26m,Horror
44. The Beast Within,4.2, (4.5K),1h 37m,Horror
45. Winnie-the-Pooh: Blood and Honey 2,4.7, (11K),1h 33m,Horror
46. Afraid,5.2, (14K),1h 24m,Horror
47. Rumours,5.0, (4.4K),1h 44m,Horror
48. Time Cut,5.0, (18K),1h 31m,Horror
49. Apocalypse Z: The Beginning of the End,6.1, (20K),1h 57m,Horror
50. The Deliverance,5.1, (22K),1h 52m,Horror
51. The Devil's Bath,6.6, (6.1K),2h 1m,Horror
52. Exhuma,6.9, (23K),2h 14m,Horror
53. Daddy's Head,5.6, (4.9K),1h 32m,Horror
54. Under Paris,5.2, (36K),1h 44m,Horror
55. The Damned,5.7, (3.8K),1h 29m,Horror
56. Tarot,4.8, (31K),1h 32m,Horror
57. Grafted,5.6, (2.2K),1h 36m,Horror
58. Lisa Frankenstein,6.1, (28K),1h 41m,Horror
59. Your Monster,6.4, (5.6K),1h 43m,Horror
60. We Bury the Dead,7.2, (104),1h 34m,Horror
61. Stree 2: Sarkate Ka Aatank,6.9, (42K),2h 27m,Horror
62. Die Alone,5.7, (2.8K),1h 31m,Horror
63. Stream,5.8, (7.7K),2h 3m,Horror
64. The Mouse Trap,2.4, (3.2K),1h 20m,Horror
65. The Platform 2,4.9, (39K),1h 39m,Horror
66. Humane,5.5, (7.1K),1h 33m,Horror
67. Sting,5.7, (16K),1h 31m,Horror
68. Night of the Zoopocalypse,6.1, (421),1h 31m,Horror
69. A Sacrifice,5.0, (5.1K),1h 34m,Horror
70. Succubus,4.6, (1.2K),1h 43m,Horror
71. The Exorcism,4.2, (11K),1h 35m,Horror
72. The Inheritance,4.7, (2.9K),1h 25m,Horror
73. Things Will Be Different,5.2, (2.4K),1h 42m,Horror
74. The Front Room,4.6, (5.3K),1h 34m,Horror
75. The Ghost,6.3, (112),1h 32m,Horror
76. Sunrise,3.8, (1.1K),1h 33m,Horror
77. Dark Match,5.5, (911),1h 34m,Horror
78. Blackwater Lane,4.6, (1.8K),1h 48m,Horror
79. Hold Your Breath,5.3, (8.5K),1h 34m,Horror
80. Night Swim,4.7, (27K),1h 38m,Horror
81. Imaginary,4.7, (17K),1h 44m,Horror
82. V/H/S/Beyond,5.8, (9.3K),1h 54m,Horror
83. Lowlifes,6.2, (6.3K),1h 30m,Horror
84. The Dead Thing,4.7, (877),1h 34m,Horror
85. Sumala,5.8, (863),1h 52m,Horror
86. Munjya,6.3, (25K),2h 3m,Horror
87. Bramayugam,7.8, (14K),2h 19m,Horror
88. Outside,5.1, (4.5K),2h 22m,Horror
89. Little Bites,4.6, (1.2K),1h 45m,Horror
90. Spin the Bottle,3.5, (919),2h 4m,Horror
91. Black Cab,4.2, (1.7K),1h 28m,Horror
92. Within the Pines,7.9, (8),1h 13m,Horror
93. River of Blood,5.3, (1.7K),1h 26m,Horror
94. The Curse of the Necklace,4.5, (1K),1h 39m,Horror
95. Anaconda,4.9, (616),1h 24m,Horror
96. The Balconettes,6.3, (791),1h 44m,Horror
97. The Radleys,5.0, (2.7K),1h 55m,Horror
98. Outbreak,4.4, (824),1h 28m,Horror
99. Seven Cemeteries,4.5, (548),1h 24m,Horror
100. Swap,2.9, (338),1h 26m,Horror
101. The Little Mermaid,3.6, (177),1h 29m,Horror
102. Goldilocks and the Three Bears: Death and Porridge,2.1, (1.6K),1h 22m,Horror
103. Something in the Water,4.1, (4.6K),1h 26m,Horror
104. Lembayung,5.9, (691),2h 3m,Horror
105. Handling the Undead,5.4, (4.3K),1h 37m,Horror
