Title,Ratings,Votings,Duration,Genre
1. Anora,7.5, (172K),2h 19m,Comedy
2. Moana 2,6.6, (96K),1h 40m,Comedy
3. Riff Raff,5.7, (2.5K),1h 43m,Comedy
4. Sonic the Hedgehog 3,6.9, (56K),1h 50m,Comedy
5. A Real Pain,7.1, (83K),1h 30m,Comedy
6. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (3.5K),1h 31m,Comedy
7. Deadpool & Wolverine,7.6, (486K),2h 8m,Comedy
8. The Ministry of Ungentlemanly Warfare,6.8, (133K),2h 2m,Comedy
9. Emilia Pérez,5.4, (87K),2h 12m,Comedy
10. Fight or Flight,6.4, (5.6K),1h 37m,Comedy
11. Paddington in Peru,6.7, (19K),1h 46m,Comedy
12. Borderlands,4.7, (47K),1h 41m,Comedy
13. The Fall Guy,6.8, (218K),2h 6m,Comedy
14. Challengers,7.0, (153K),2h 11m,Comedy
15. Saturday Night,6.9, (30K),1h 49m,Comedy
16. Y2K,4.8, (11K),1h 31m,Comedy
17. Despicable Me 4,6.2, (64K),1h 34m,Comedy
18. My Dead Friend Zoe,6.7, (2K),1h 43m,Comedy
19. Beetlejuice Beetlejuice,6.7, (145K),1h 45m,Comedy
20. Inside Out 2,7.5, (214K),1h 36m,Comedy
21. Kinds of Kindness,6.5, (59K),2h 44m,Comedy
22. A Different Man,6.9, (28K),1h 52m,Comedy
23. IF,6.4, (57K),1h 44m,Comedy
24. Fly Me to the Moon,6.6, (49K),2h 12m,Comedy
25. Upgraded,6.1, (29K),1h 44m,Comedy
26. Friendship,7.4, (247),1h 40m,Comedy
27. The Idea of You,6.3, (72K),1h 55m,Comedy
28. Red One,6.3, (139K),2h 3m,Comedy
29. Argylle,5.6, (92K),2h 19m,Comedy
30. My Old Ass,6.9, (38K),1h 29m,Comedy
31. Bad Boys: Ride or Die,6.5, (99K),1h 55m,Comedy
32. It's What's Inside,6.6, (41K),1h 43m,Comedy
33. Freaky Tales,6.8, (522),1h 46m,Comedy
34. Snack Shack,7.0, (12K),1h 52m,Comedy
35. Nightbitch,5.5, (19K),1h 39m,Comedy
36. Dead Talents Society,7.1, (1.5K),1h 51m,Comedy
37. Bob Trevino Likes It,8.0, (627),1h 41m,Comedy
38. Ghostbusters: Frozen Empire,6.1, (93K),1h 55m,Comedy
39. The Killer's Game,5.8, (17K),1h 44m,Comedy
40. Old Guy,5.2, (2.1K),1h 34m,Comedy
41. F*** Marry Kill,5.3, (2.2K),1h 37m,Comedy
42. Misericordia,6.9, (1.9K),1h 44m,Comedy
43. Sister Midnight,6.6, (353),1h 47m,Comedy
44. Distant,5.7, (3.1K),1h 27m,Comedy
45. Eephus,7.2, (451),1h 39m,Comedy
46. Sacramento,5.7, (450),1h 24m,Comedy
47. Thelma,7.0, (22K),1h 38m,Comedy
48. Bloody Axe Wound,4.9, (750),1h 23m,Comedy
49. Kneecap,7.6, (17K),1h 45m,Comedy
50. Miller's Girl,5.2, (23K),1h 33m,Comedy
51. Spellbound,5.6, (7.1K),1h 49m,Comedy
52. The Union,5.4, (52K),1h 47m,Comedy
53. Mean Girls,5.5, (37K),1h 52m,Comedy
54. Incoming,5.8, (14K),1h 31m,Comedy
55. Kung Fu Panda 4,6.3, (67K),1h 34m,Comedy
56. The Marching Band,7.4, (2.5K),1h 43m,Comedy
57. Drive-Away Dolls,5.4, (23K),1h 24m,Comedy
58. The Instigators,6.2, (37K),1h 41m,Comedy
59. Get Away,5.3, (6.5K),1h 26m,Comedy
60. A Family Affair,5.4, (36K),1h 51m,Comedy
61. Greedy People,6.2, (11K),1h 52m,Comedy
62. Wallace & Gromit: Vengeance Most Fowl,7.5, (34K),1h 22m,Comedy
63. Spermageddon,5.9, (735),1h 20m,Comedy
64. Harold and the Purple Crayon,5.7, (8.1K),1h 30m,Comedy
65. Brothers,5.4, (13K),1h 29m,Comedy
66. Lift,5.5, (49K),1h 47m,Comedy
67. The Garfield Movie,5.7, (24K),1h 41m,Comedy
68. Superboys of Malegaon,8.0, (1.3K),2h 7m,Comedy
69. Modi: Three Days on the Wing of Madness,5.6, (505),1h 50m,Comedy
70. Beverly Hills Cop: Axel F,6.4, (81K),1h 58m,Comedy
71. Hard Truths,7.3, (5K),1h 37m,Comedy
72. Rumours,5.0, (4.4K),1h 44m,Comedy
73. Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,8.5, (86),1h 42m,Comedy
74. Chuck Billy and the Marvelous Guava Tree,7.5, (854),1h 30m,Comedy
75. Holy Cow,7.2, (1.3K),1h 32m,Comedy
76. This Is Me... Now,4.1, (7.1K),1h 5m,Comedy
77. Ricky Stanicky,6.2, (56K),1h 53m,Comedy
78. Goodrich,6.3, (5.1K),1h 50m,Comedy
79. How to Make Millions Before Grandma Dies,8.0, (13K),2h 5m,Comedy
80. Unfrosted,5.5, (35K),1h 37m,Comedy
81. Lisa Frankenstein,6.1, (28K),1h 41m,Comedy
82. Your Monster,6.4, (5.6K),1h 43m,Comedy
83. Skincare,5.7, (4.4K),1h 36m,Comedy
84. Chosen Family,4.6, (342),1h 28m,Comedy
85. Stree 2: Sarkate Ka Aatank,6.9, (42K),2h 27m,Comedy
86. A Nice Indian Boy,7.3, (208),1h 36m,Comedy
87. Ghostlight,7.6, (5.8K),1h 55m,Comedy
88. Time Travel Is Dangerous,6.7, (143),1h 39m,Comedy
89. Sweethearts,5.5, (3.8K),1h 38m,Comedy
90. When Fall Is Coming,6.8, (1.4K),1h 44m,Comedy
91. Jackpot!,5.8, (30K),1h 46m,Comedy
92. Dìdi,7.3, (12K),1h 33m,Comedy
93. Gelin Takimi,3.1, (2.2K),1h 49m,Comedy
94. The Visitor,4.4, (203),1h 41m,Comedy
95. The Uninvited,5.9, (149),1h 37m,Comedy
96. The 4:30 Movie,6.0, (3.6K),1h 27m,Comedy
97. The Mouse Trap,2.4, (3.2K),1h 20m,Comedy
98. Winner,6.5, (2.4K),1h 43m,Comedy
99. I Love You Forever,5.6, (168),1h 29m,Comedy
100. On Becoming a Guinea Fowl,7.2, (800),1h 39m,Comedy
