Title,Ratings,Votings,Duration,Genre
1. Anora,7.5, (172K),2h 19m,Romance
2. Wicked,7.5, (152K),2h 40m,Romance
3. Babygirl,5.9, (50K),1h 54m,Romance
4. It Ends with Us,6.4, (83K),2h 10m,Romance
5. Queer,6.4, (19K),2h 17m,Romance
6. We Live in Time,7.0, (50K),1h 48m,Romance
7. The Fall Guy,6.8, (219K),2h 6m,Romance
8. Challengers,7.0, (153K),2h 11m,Romance
9. The Count of Monte-Cristo,7.6, (33K),2h 58m,Romance
10. The Crow,4.7, (33K),1h 51m,Romance
11. Fly Me to the Moon,6.6, (49K),2h 12m,Romance
12. Upgraded,6.1, (29K),1h 44m,Romance
13. The Idea of You,6.3, (72K),1h 55m,Romance
14. My Old Ass,6.9, (38K),1h 29m,Romance
15. Love Lies Bleeding,6.6, (56K),1h 44m,Romance
16. F*** Marry Kill,5.3, (2.2K),1h 37m,Romance
17. All We Imagine as Light,7.1, (9.4K),1h 58m,Romance
18. A Family Affair,5.4, (36K),1h 51m,Romance
19. Emmanuelle,4.2, (1.5K),1h 47m,Romance
20. Culpa Tuya,5.2, (13K),1h 58m,Romance
21. Beating Hearts,7.0, (4.4K),2h 46m,Romance
22. Young Woman and the Sea,7.5, (17K),2h 9m,Romance
23. Killer Heat,5.6, (13K),1h 35m,Romance
24. Girls Will Be Girls,7.1, (2.4K),1h 58m,Romance
25. La cocina,7.2, (2.6K),2h 19m,Romance
26. Sidelined: The QB and Me,5.9, (3.6K),1h 39m,Romance
27. This Is Me... Now,4.1, (7.1K),1h 5m,Romance
28. Loveable,7.9, (1.6K),1h 41m,Romance
29. Grafted,5.6, (2.2K),1h 36m,Romance
30. Lisa Frankenstein,6.1, (28K),1h 41m,Romance
31. Your Monster,6.4, (5.6K),1h 43m,Romance
32. Lonely Planet,5.7, (11K),1h 34m,Romance
33. Chosen Family,4.6, (345),1h 28m,Romance
34. A Nice Indian Boy,7.3, (213),1h 36m,Romance
35. Guilty Pleasure,5.9, (111),1h 59m,Romance
36. Darkest Miriam,6.8, (51),1h 27m,Romance
37. Die Alone,5.7, (2.8K),1h 31m,Romance
38. Someone Like You,5.8, (2.1K),1h 58m,Romance
39. Gelin Takimi,3.1, (2.2K),1h 49m,Romance
40. Ask Me What You Want,3.7, (477),1h 54m,Romance
41. The Tearsmith,5.2, (12K),1h 43m,Romance
42. Our Little Secret,5.7, (23K),1h 41m,Romance
43. Love Me,5.1, (2.3K),1h 31m,Romance
44. Mother of the Bride,4.8, (17K),1h 28m,Romance
45. Winter Spring Summer or Fall,7.0, (474),1h 37m,Romance
46. Find Me Falling,6.3, (13K),1h 33m,Romance
47. Irish Wish,5.2, (21K),1h 33m,Romance
48. Turn Me On,5.6, (484),1h 39m,Romance
49. Girl Haunts Boy,6.3, (2.9K),1h 40m,Romance
50. Touch,7.4, (5.3K),2h 1m,Romance
51. Mon Potongo,6.8, (276),2h 29m,Romance
52. Boot Camp,5.8, (1.1K),1h 34m,Romance
53. The Greatest Hits,6.2, (7.3K),1h 34m,Romance
54. Grand Tour,6.6, (1.5K),2h 8m,Romance
55. High Tide,6.6, (540),1h 41m,Romance
56. The Dead Thing,4.7, (877),1h 34m,Romance
57. My Favourite Cake,7.4, (7.1K),1h 37m,Romance
58. Jane Austen Wrecked My Life,6.4, (170),1h 34m,Romance
59. Role Play,5.5, (19K),1h 40m,Romance
60. Sex,6.6, (954),2h 5m,Romance
61. Turtles All the Way Down,6.6, (6.9K),1h 51m,Romance
62. This Time Next Year,5.6, (2.2K),1h 56m,Romance
63. Beautiful Wedding,4.1, (4.1K),1h 40m,Romance
64. Lick,6.3, (760),1h 15m,Romance
65. Players,5.7, (12K),1h 45m,Romance
66. Swap,2.9, (338),1h 26m,Romance
67. Lilies Not for Me,7.8, (98),1h 39m,Romance
68. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,Romance
69. Wallbanger,5.6, (656),1h 58m,Romance
70. Bonjour Tristesse,6.0, (87),1h 50m,Romance
71. Teri Baaton Mein Aisa Uljha Jiya,6.2, (54K),2h 21m,Romance
72. The Merry Gentlemen,4.8, (10K),1h 27m,Romance
73. Pedro Páramo,6.3, (2.9K),2h 10m,Romance
74. We're All Gonna Die,8.2, (89),1h 50m,Romance
75. Hot Frosty,5.3, (15K),1h 32m,Romance
76. How to Date Billy Walsh,5.2, (3.9K),1h 38m,Romance
77. Romance on the Ranch,6.8, (308),1h 28m,Romance
78. The Glassworker,7.4, (1.6K),1h 38m,Romance
79. Through My Window: Looking at You,5.5, (5.1K),1h 45m,Romance
80. The Astronaut Lovers,7.2, (578),1h 56m,Romance
81. A True Gentleman,4.5, (2.1K),1h 50m,Romance
82. Marmalade,6.3, (3.5K),1h 39m,Romance
83. Cinderella's Curse,3.3, (1.3K),1h 22m,Romance
84. O Melhor Amigo,7.4, (56),1h 36m,Romance
85. Love in the Big City,7.5, (1.4K),1h 58m,Romance
86. Layla,6.1, (377),1h 40m,Romance
87. Premalu,7.8, (19K),2h 36m,Romance
88. Gone Running,7.1, (4K),1h 45m,Romance
90. Timestalker,5.5, (2.9K),1h 29m,Romance
91. Take My Hand,6.3, (298),1h 42m,Romance
92. Dandelion,5.3, (396),1h 53m,Romance
94. Freedom,5.9, (1.4K),1h 50m,Romance
95. Five Blind Dates,5.1, (1.9K),1h 23m,Romance
96. City Hunter,6.3, (5.6K),1h 42m,Romance
97. Three Friends,6.5, (661),1h 57m,Romance
98. Snatched a Billionaire to Be My Husband,7.6, (653),1h 10m,Romance
99. Vulgar,5.4, (115),1h 43m,Romance
100. Ashes,4.3, (2.6K),1h 40m,Romance
101. Cinderella's Revenge,3.7, (1.1K),1h 25m,Romance
