Title,Ratings,Votings,Duration,Genre
1. No Other Land,8.3, (11K),1h 32m,Documentary
2. Secret Mall Apartment,7.5, (201),1h 31m,Documentary
3. The Menendez Brothers,7.0, (9.1K),1h 59m,Documentary
4. 2073,5.1, (1.7K),1h 25m,Documentary
5. Every Little Thing,7.1, (240),1h 33m,Documentary
6. Black Box Diaries,7.5, (3.3K),1h 42m,Documentary
7. Soundtrack to a Coup d'Etat,7.7, (2.7K),2h 30m,Documentary
8. Cheech and Chong's Last Movie,7.7, (42),2h 3m,Documentary
9. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Documentary
10. The Last Journey,7.9, (5.1K),1h 35m,Documentary
11. Grand Theft Hamlet,6.9, (1.8K),1h 29m,Documentary
12. Will & Harper,7.4, (12K),1h 54m,Documentary
13. Sugarcane,7.0, (3.2K),1h 47m,Documentary
14. One to One: John & Yoko,6.9, (84),1h 40m,Documentary
15. Janis Ian: Breaking Silence,8.3, (48),1h 54m,Documentary
16. Pavements,7.0, (156),2h 8m,Documentary
17. Super/Man: The Christopher Reeve Story,8.0, (8.9K),1h 44m,Documentary
18. Am I Racist?,6.7, (17K),1h 40m,Documentary
19. Mogwai: If the Stars Had a Sound,7.5, (66),1h 32m,Documentary
20. Buy Now! The Shopping Conspiracy,6.7, (6.2K),1h 24m,Documentary
21. Afternoons of Solitude,7.3, (375),2h 5m,Documentary
22. The Lost Children,7.0, (2.7K),1h 36m,Documentary
24. Brats,6.5, (6.9K),1h 32m,Documentary
25. Tom Petty: Heartbreakers Beach Party,7.4, (211),1h 24m,Documentary
26. Lover Stalker Killer,7.0, (13K),1h 30m,Documentary
27. Checkpoint Zoo,8.3, (53),1h 43m,Documentary
28. What Jennifer Did,6.1, (11K),1h 27m,Documentary
29. The Thinking Game,7.6, (148),1h 24m,Documentary
30. Yacht Rock: A Dockumentary,7.6, (1.8K),1h 35m,Documentary
31. The Program,7.2, (751),1h 42m,Documentary
32. Sweet Bobby: My Catfish Nightmare,6.2, (5.5K),1h 22m,Documentary
33. Porcelain War,7.1, (1.2K),1h 27m,Documentary
34. Avicii - I'm Tim,7.8, (6.8K),1h 35m,Documentary
35. Behind the Lines,8.7, (10),1h 47m,Documentary
36. Bambi: A Tale of Life in the Woods,5.7, (160),1h 18m,Documentary
37. Blink,7.2, (649),1h 23m,Documentary
38. The Many Miracles of Household Saints,7.7, (24),58m,Documentary
"39. My Wife, My Abuser: The Secret Footage",7.1, (798),55m,Documentary
40. Endurance,7.5, (1.6K),1h 43m,Documentary
41. Dahomey,6.8, (2.5K),1h 8m,Documentary
42. How to Rob a Bank,6.6, (4.2K),1h 28m,Documentary
43. Dear Kelly,7.3, (451),1h 30m,Documentary
44. Brendan Gleeson's Farewell to Hughes's,6.5, (18),1h,Documentary
45. Frida,7.5, (1.5K),1h 27m,Documentary
46. Swamp Dogg Gets His Pool Painted,8.7, (46),1h 35m,Documentary
47. The Bloody Hundredth,7.5, (2.6K),1h 2m,Documentary
48. The Greatest Night in Pop,7.9, (15K),1h 36m,Documentary
49. Architecton,6.6, (288),1h 38m,Documentary
50. Billy & Molly: An Otter Love Story,8.0, (1.9K),1h 17m,Documentary
51. Hack Your Health: The Secrets of Your Gut,6.6, (3.2K),1h 19m,Documentary
52. Twiggy,7.5, (66),1h 34m,Documentary
53. The Blue Angels,7.3, (2.7K),1h 33m,Documentary
54. We Will Dance Again,7.6, (11K),1h 30m,Documentary
55. DIG! XX,8.0, (78),2h 26m,Documentary
