Title,Ratings,Votings,Duration,Genre
1. Anora,7.5, (172K),2h 19m,Drama
2. Mufasa: The Lion King,6.6, (56K),1h 58m,Drama
3. A Complete Unknown,7.4, (68K),2h 21m,Drama
4. The Substance,7.3, (290K),2h 21m,Drama
5. The Brutalist,7.4, (75K),3h 36m,Drama
6. Conclave,7.4, (141K),2h,Drama
7. I'm Still Here,8.3, (100K),2h 17m,Drama
8. Gladiator II,6.5, (223K),2h 28m,Drama
9. Babygirl,5.9, (50K),1h 54m,Drama
10. A Real Pain,7.1, (83K),1h 30m,Drama
11. Parthenope,6.6, (10K),2h 17m,Drama
12. It Ends with Us,6.4, (83K),2h 10m,Drama
13. Dune: Part Two,8.5, (619K),2h 46m,Drama
14. Pushpa: The Rule - Part 2,6.1, (55K),3h 21m,Drama
15. The Friend,6.6, (406),1h 59m,Drama
16. Queer,6.4, (19K),2h 17m,Drama
17. Presence,6.1, (20K),1h 24m,Drama
18. The Apprentice,7.1, (53K),2h 2m,Drama
19. The Order,6.8, (40K),1h 56m,Drama
20. The Penguin Lessons,7.3, (705),1h 51m,Drama
21. Emilia Pérez,5.4, (87K),2h 12m,Drama
22. Juror #2,7.0, (95K),1h 54m,Drama
23. The Assessment,7.2, (933),1h 54m,Drama
24. We Live in Time,7.0, (50K),1h 48m,Drama
25. Horizon: An American Saga - Chapter 1,6.7, (40K),3h 1m,Drama
26. Speak No Evil,6.8, (95K),1h 50m,Drama
27. The Fall Guy,6.8, (218K),2h 6m,Drama
28. Challengers,7.0, (153K),2h 11m,Drama
29. Bring Them Down,6.5, (2K),1h 46m,Drama
30. Joker: Folie à Deux,5.2, (159K),2h 18m,Drama
31. September 5,7.1, (22K),1h 35m,Drama
32. The Last Showgirl,6.5, (9.9K),1h 28m,Drama
33. The Lord of the Rings: The War of the Rohirrim,6.3, (29K),2h 14m,Drama
34. Saturday Night,6.9, (30K),1h 49m,Drama
35. Here,6.3, (19K),1h 44m,Drama
36. The Count of Monte-Cristo,7.6, (33K),2h 58m,Drama
37. My Dead Friend Zoe,6.7, (2K),1h 43m,Drama
38. Queen of the Ring,6.9, (910),2h 20m,Drama
39. Megalopolis,4.7, (35K),2h 18m,Drama
40. A Quiet Place: Day One,6.3, (148K),1h 39m,Drama
41. Inside Out 2,7.5, (214K),1h 36m,Drama
42. McVeigh,4.6, (438),1h 30m,Drama
43. Small Things Like These,6.8, (21K),1h 38m,Drama
44. Nickel Boys,7.0, (18K),2h 20m,Drama
