Title,Ratings,Votings,Duration,Genre
Abigail,6.5,107000,109,Action
Relay,7.0,16000,112,Action
Dune: Part Two,8.4,678000,166,Action
Twisters,6.5,186000,122,Action
The Ministry of Ungentlemanly Warfare,6.8,149000,122,Action
Gladiator II,6.5,279000,148,Action
The Fall Guy,6.8,240000,126,Action
Deadpool & Wolverine,7.5,537000,128,Action
Red One,6.2,146000,123,Action
Road House,6.2,178000,121,Action
Civil War,7.0,256000,109,Action
Carry-On,6.5,183000,119,Action
Furiosa: A Mad Max Saga,7.5,307000,148,Action
The Unholy Trinity,5.5,4400,95,Action
Kraven the Hunter,5.5,75000,127,Action
The Beekeeper,6.3,171000,105,Action
Fight or Flight,6.4,21000,102,Action
The Count of Monte-Cristo,7.6,42000,178,Action
Mahavatar Narsimha,8.6,42000,130,Action
Madame Web,4.1,109000,116,Action
Elevation,5.6,28000,91,Action
Kingdom of the Planet of the Apes,6.8,162000,145,Action
Rebel Ridge,6.8,98000,131,Action
Venom: The Last Dance,6.0,144000,110,Action
Land of Bad,6.6,56000,113,Action
Sonic the Hedgehog 3,6.9,74000,110,Action
Damsel,6.1,115000,110,Action
Bad Boys: Ride or Die,6.5,108000,115,Action
Borderlands,4.7,54000,101,Action
Argylle,5.6,97000,139,Action
Transformers One,7.6,60000,104,Action
The Crow,4.7,39000,111,Action
Godzilla x Kong: The New Empire,6.0,129000,115,Action
Maharaja,8.3,76000,141,Action
The Union,5.5,56000,107,Action
Delivery Run,4.5,499,84,Action
Freaky Tales,6.2,14000,107,Action
Dirty Angels,4.5,6100,104,Action
Monkey Man,6.8,97000,121,Action
The Lord of the Rings: The War of the Rohirrim,6.3,37000,134,Action
Drive-Away Dolls,5.4,27000,84,Action
Homestead,5.2,4800,112,Action
William Tell,5.7,6100,134,Action
40 Acres,6.5,5000,113,Action
Brothers,5.4,15000,89,Action
Attack on Titan the Movie: The Last Attack,9.2,21000,145,Action
The Killer,5.7,16000,126,Action
Old Guy,5.3,5000,94,Action
Kung Fu Panda 4,6.3,75000,94,Action
Pushpa: The Rule - Part 2,6.1,63000,201,Action
No Way Up,4.6,12000,90,Action
Queen of the Ring,6.3,2600,129,Action
The Instigators,6.2,41000,101,Action
Beverly Hills Cop: Axel F,6.4,85000,118,Action
Arcadian,5.5,26000,92,Action
Thelma,7.0,26000,98,Action
The Silent Hour,6.1,9500,99,Action
Hellboy: The Crooked Man,4.5,16000,99,Action
Canary Black,5.4,13000,101,Action
Baby John,5.0,19000,159,Action
Twilight of the Warriors: Walled In,6.9,11000,126,Action
Cloud,6.4,3100,124,Action
Riff Raff,5.7,7300,103,Action
The Killer's Game,5.8,20000,104,Action
Ick,5.2,1600,114,Action
Uglies,4.7,35000,100,Action
Atlas,5.6,58000,118,Action
Lift,5.5,51000,107,Action
Azrael,5.3,13000,86,Action
Blitz,6.2,18000,120,Action
Solo Leveling: ReAwakening,8.7,16000,121,Action
Rebel Moon - Part Two: The Scargiver,5.3,62000,122,Action
Werewolves,4.4,9200,93,Action
The Partisan,5.2,329,108,Action
