Title,Ratings,Votings,Duration,Genre
1. Nosferatu,7.2, (186K),2h 12m,Mystery
2. Trap,5.8, (135K),1h 45m,Mystery
3. Blink Twice,6.5, (103K),1h 42m,Mystery
4. Smile 2,6.7, (100K),2h 7m,Mystery
5. Juror #2,7.0, (95K),1h 54m,Mystery
6. Paddington in Peru,6.7, (19K),1h 46m,Mystery
7. Hellboy: The Crooked Man,4.5, (13K),1h 39m,Mystery
8. The Rule of Jenny Pen,6.3, (2.4K),1h 44m,Mystery
9. The Watchers,5.7, (56K),1h 42m,Mystery
10. Red One,6.3, (139K),2h 3m,Mystery
11. It's What's Inside,6.6, (41K),1h 43m,Mystery
12. Caddo Lake,6.8, (41K),1h 43m,Mystery
13. Love Lies Bleeding,6.6, (56K),1h 44m,Mystery
14. F*** Marry Kill,5.3, (2.2K),1h 37m,Mystery
15. Cuckoo,5.7, (26K),1h 42m,Mystery
16. Slingshot,5.7, (9.2K),1h 48m,Mystery
17. The Instigators,6.2, (37K),1h 41m,Mystery
18. Sleeping Dogs,6.2, (21K),1h 50m,Mystery
19. Killer Heat,5.6, (13K),1h 35m,Mystery
20. Long Gone Heroes,5.2, (1K),1h 41m,Mystery
21. Force of Nature: The Dry 2,5.8, (6.9K),2h,Mystery
22. Absolution,5.2, (7.6K),1h 52m,Mystery
23. Afraid,5.2, (14K),1h 24m,Mystery
24. Time Cut,5.0, (18K),1h 31m,Mystery
25. The Deliverance,5.1, (22K),1h 52m,Mystery
26. Exhuma,6.9, (23K),2h 14m,Mystery
27. The Damned,5.7, (3.8K),1h 29m,Mystery
28. Skincare,5.7, (4.4K),1h 36m,Mystery
29. Boneyard,4.1, (4.9K),1h 36m,Mystery
30. Watchmen: Chapter I,7.0, (6.4K),1h 23m,Mystery
31. Die Alone,5.7, (2.8K),1h 31m,Mystery
32. Monster Summer,5.7, (3.6K),1h 37m,Mystery
33. A Sacrifice,5.0, (5.1K),1h 34m,Mystery
34. Kishkindha Kaandam,8.0, (11K),2h 13m,Mystery
35. Blackwater Lane,4.6, (1.8K),1h 48m,Mystery
36. Night Swim,4.7, (27K),1h 38m,Mystery
37. Imaginary,4.7, (17K),1h 44m,Mystery
38. Orion and the Dark,6.3, (17K),1h 33m,Mystery
39. The Dead Thing,4.7, (877),1h 34m,Mystery
40. Damaged,4.7, (7.2K),1h 37m,Mystery
41. Depravity,4.3, (959),1h 57m,Mystery
42. The Girl in the Pool,4.3, (1.4K),1h 29m,Mystery
43. Watchmen: Chapter II,7.0, (2.9K),1h 30m,Mystery
44. Turtles All the Way Down,6.6, (6.9K),1h 51m,Mystery
45. Reunion,5.6, (3.5K),1h 30m,Mystery
46. Outbreak,4.4, (824),1h 28m,Mystery
47. Sookshma Darshini,7.8, (9.8K),2h 22m,Mystery
48. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,Mystery
49. Handling the Undead,5.4, (4.3K),1h 37m,Mystery
50. Pedro Páramo,6.3, (2.9K),2h 10m,Mystery
51. Colors of Evil: Red,6.4, (8.4K),1h 51m,Mystery
52. The Sand Castle,4.7, (1.6K),1h 38m,Mystery
53. The Price of Money: A Largo Winch Adventure,5.0, (1.1K),1h 40m,Mystery
54. Triumph,5.5, (232),1h 38m,Mystery
55. Strictly Confidential,2.8, (837),1h 34m,Mystery
56. Badland Hunters,5.9, (12K),1h 47m,Mystery
57. Drugstore June,5.4, (1.7K),1h 31m,Mystery
58. Do Patti,6.4, (68K),2h 6m,Mystery
59. Sikandar Ka Muqaddar,6.0, (24K),2h 22m,Mystery
60. Held Hostage in My House,5.1, (125),1h 30m,Mystery
61. Cinderella's Curse,3.3, (1.3K),1h 22m,Mystery
62. The Soul Eater,5.9, (2.5K),1h 48m,Mystery
63. Mr. K,6.2, (372),1h 34m,Mystery
64. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Mystery
66. Bougainvillea,6.4, (3.1K),2h 18m,Mystery
67. Cult Killer,4.8, (2.7K),1h 45m,Mystery
68. Rippy,4.1, (836),1h 23m,Mystery
69. American Star,5.5, (2.5K),1h 47m,Mystery
70. Crescent City,3.9, (1.3K),1h 43m,Mystery
71. The Lost Daughter,5.9, (285),1h 39m,Mystery
72. Hidden Face,6.1, (510),1h 55m,Mystery
73. Dan Da Dan: First Encounter,8.2, (2.7K),1h 23m,Mystery
74. The Image of You,4.6, (814),1h 30m,Mystery
75. Anweshippin Kandethum,7.4, (10K),2h 22m,Mystery
76. City Hunter,6.3, (5.6K),1h 42m,Mystery
77. Karma,8.1, (1.4K),2h 47m,Mystery
78. Cinderella's Revenge,3.7, (1.1K),1h 25m,Mystery
79. Witchboard,7.6, (88),1h 55m,Mystery
80. Heresy,6.9, (294),1h 1m,Mystery
81. Thalavan,7.2, (4.6K),2h 11m,Mystery
82. Following,6.5, (1.2K),1h 42m,Mystery
83. Drive Back,4.8, (295),1h 34m,Mystery
84. Compulsion,6.6, (10),1h 34m,Mystery
85. #AMFAD: All My Friends Are Dead,4.4, (1.2K),1h 31m,Mystery
86. Faultline,5.7, (88),1h 32m,Mystery
87. Brief History of a Family,6.7, (413),1h 40m,Mystery
88. The Hangman,3.3, (995),1h 32m,Mystery
89. Saint Clare,7.6, (87),1h 32m,Mystery
90. Cellphone,3.0, (705),1h 28m,Mystery
91. Revolver,5.4, (838),1h 54m,Mystery
92. Inheritance,5.1, (3.5K),1h 34m,Mystery
93. The Redemption of Sin,6.0, (175),1h 56m,Mystery
94. Bloodline Killer,3.8, (4.4K),1h 45m,Mystery
95. Gazer,6.4, (103),1h 54m,Mystery
96. Golam,7.2, (5.5K),2h,Mystery
97. Arcadia,6.9, (458),1h 39m,Mystery
98. The Monster Beneath Us,5.8, (414),1h 43m,Mystery
99. Salawahan,4.3, (200),1h 56m,Mystery
100. Mononoke the Movie: The Phantom in the Rain,6.8, (1.2K),1h 29m,Mystery
101. Believer,4.5, (366),1h 48m,Mystery
102. Séance Games: Metaxu,3.3, (177),1h 26m,Mystery
103. Phir Aayi Hasseen Dillruba,5.8, (6.8K),2h 12m,Mystery
104. Dark Night of the Soul,3.4, (160),1h 21m,Mystery
105. A Place Called Silence,6.4, (1.2K),1h 59m,Mystery
106. The American Backyard,6.2, (151),1h 47m,Mystery
107. Dirty Boy,8.4, (19),1h 38m,Mystery
108. Murder Mubarak,5.8, (51K),2h 20m,Mystery
109. The Stalking,4.0, (39),1h 12m,Mystery
110. Gaami,6.4, (2K),2h 27m,Mystery
111. Merry Christmas,6.9, (30K),2h 24m,Mystery
112. Stupid Games,4.2, (381),1h 26m,Mystery
113. Black,7.1, (2.7K),1h 55m,Mystery
114. Bone Lake,6.9, (44),1h 34m,Mystery
115. Seeds,6.7, (57),1h 22m,Mystery
116. Solvent,7.3, (387),1h 34m,Mystery
117. Horror in the High Desert 3: Firewatch,5.4, (708),1h 28m,Mystery
118. Hunting Matthew Nichols,9.0, (44),1h 36m,Mystery
119. Killer Body Count,4.7, (645),1h 49m,Mystery
120. Chapel,3.3, (174),1h 32m,Mystery
121. Karma's a Bitch,4.7, (33),1h 29m,Mystery
122. They Called Him Mostly Harmless,5.9, (3.2K),1h 29m,Mystery
123. The Manifestation,3.6, (179),1h 24m,Mystery
124. Carnage for Christmas,4.5, (339),1h 9m,Mystery
125. Haze,6.9, (45),1h 16m,Mystery
126. Chaalchitro: The Frame Fatale,6.4, (833),2h 4m,Mystery
127. Last Stop: Rocafort St.,4.1, (461),1h 29m,Mystery
128. Abraham Ozler,6.5, (4.2K),2h 23m,Mystery
129. Perewangan,5.5, (129),1h 49m,Mystery
130. Shigatsu ni nareba kanojo wa,6.2, (423),1h 48m,Mystery
131. Dark Feathers: Dance of the Geisha,6.2, (847),1h 33m,Mystery
134. What Happened to Suzy,6.5, (66),1h 34m,Mystery
135. ClearMind,4.1, (2.2K),1h 25m,Mystery
136. Paranoia,4.2, (356),1h 35m,Mystery
137. 10 Days of a Curious Man,5.7, (1.2K),1h 50m,Mystery
138. Borderless Fog,5.2, (1.3K),1h 50m,Mystery
139. Hunting Daze,6.1, (452),1h 19m,Mystery
140. About a Hero,6.4, (37),1h 24m,Mystery
142. The Epidemic,5.8, (69),1h 35m,Mystery
143. In Our Blood,6.9, (46),1h 29m,Mystery
144. Clownface 3,9.5, (35),1h 44m,Mystery
145. Rautu Ka Raaz,6.3, (2K),1h 54m,Mystery
146. Amp House Massacre,3.8, (179),1h 20m,Mystery
147. A Stranger's Child,5.3, (133),1h 28m,Mystery
148. Killer Influence,2.7, (261),1h 24m,Mystery
149. Pogumidam Vegu Thooramillai,7.4, (3.9K),2h 13m,Mystery
150. Doctor X: The Movie,7.8, (47),2h 8m,Mystery
152. Memes & Nightmares,5.8, (83),1h 21m,Mystery
153. Dancing Village: The Curse Begins,5.7, (4.1K),2h 2m,Mystery
154. Partners,4.8, (114),1h 50m,Mystery
155. The Birthday Boy,8.8, (3K),1h 58m,Mystery
156. The Private Eye,3.6, (129),1h 55m,Mystery
157. Naam,6.3, (276),2h 16m,Mystery
158. Campton Manor,3.4, (223),1h 23m,Mystery
159. Algiers,7.8, (49),1h 33m,Mystery
160. Dead Man,5.1, (206),1h 49m,Mystery
"161. Silent Night, Bloody Night 3: Descent",3.6, (174),1h 40m,Mystery
162. Cheat,4.1, (189),1h 45m,Mystery
163. Passages of Nexus,5.9, (195),1h 48m,Mystery
164. Kurukku,6.6, (529),1h 49m,Mystery
165. Free Falling,5.2, (291),1h 29m,Mystery
166. Don't Look Back... I Know Your Origins,4.4, (76),1h 44m,Mystery
167. The Shadow,6.5, (249),1h 30m,Mystery
168. Danger in the Dorm,5.0, (152),1h 26m,Mystery
169. Its Name Was Mormo,3.7, (114),1h 33m,Mystery
171. Next to Us,4.9, (221),2h 5m,Mystery
172. The Yin Yang Master Zero,5.7, (261),1h 52m,Mystery
173. Oshi no Ko: The Final Act,7.7, (104),2h 9m,Mystery
174. 9 Windows,3.6, (307),1h 22m,Mystery
175. Bhoothaddam Bhaskar Narayana,6.2, (279),2h 21m,Mystery
176. Guess Who,4.8, (365),1h 33m,Mystery
177. Prasanna Vadanam,6.6, (534),2h 26m,Mystery
178. Detective Conan: The Million-Dollar Pentagram,6.7, (1.4K),1h 51m,Mystery
179. Murder and Cocktails,4.0, (360),1h 28m,Mystery
